"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
18.5279327625133,-4.56354013447212,0.845434089922358,-5.39786624276201,6.74381122760939e-08,5.15983310770896e-07,"CSN2"
2.34148268080232,4.35182177215052,0.636641677907084,6.83559044776464,8.16679519265025e-12,1.3354937447763e-10,"SPANXA2"
10.2609422774129,4.29676871388288,0.796619698206659,5.39375152730433,6.90016201924393e-08,5.26155635447901e-07,"GAGE12D"
2.42992757012514,4.17245397934002,0.524708298236616,7.951949670631,1.83598846445722e-15,5.75361681161264e-14,"SPANXC"
1.5226062287886,4.05697780492418,1.41276771334919,2.87165240724992,0.00408331830132186,0.00957225722733,"GAGE2B"
47.1476103014997,-3.70970712897469,0.492303915329506,-7.53540041722343,4.8683859901693e-14,1.20956529269565e-12,"CSN3"
1.69449408224523,3.3745021472012,0.298129557965135,11.3189117182263,1.05776860644494e-29,1.39588494461131e-27,"FAM9C"
165.000595663708,3.30959033806867,0.179623725525531,18.4251291325001,8.25933637166991e-76,5.71419010206148e-73,"PNMT"
4.45378471525681,3.30570382806258,0.66161886765718,4.9963868771884,5.84144150542699e-07,3.59110901570816e-06,"GAGE4"
22.7838396660442,-3.29068471226073,0.729214051790922,-4.51264577825802,6.40239000025199e-06,3.09254004630861e-05,"LALBA"
